Full Name Twitter,Username Twitter,Twitter ID
BEM ITS,BEM_ITS,75362544
Institut Teknologi Sepuluh Nopember | ITS Surabaya,its_campus,306613537
ITS Library,PerpustakaanITS,2713719181
Lembaga Minat Bakat ITS,LMB_ITS,502525735
ITS Robotics,ITS_Robotics,2613707857
WE&T ITS - TDC ITS,tdcits,2596673661
ITS TV,ITStv_official,451430920
Teknik Mesin ITS,TeknikMesinITS,1173472500
Interior Design ITS,interior_ITS,2541123397
Teknik Komputer ITS,computer_its,1049314458
BEM FTIK ITS,BEMFTIK_ITS,720575737
HIMA D3KKIM FV-ITS,himad3kkim_its,727320212
HMTC FTIK ITS,hmtc_its,349664697
HIMADATA-ITS,HIMADATA_ITS,2595956318
HMSI FTIK ITS,HMSI_ITS,188005887
HMM FTI ITS,HMM_ITS,487418059
HIMASIKA ITS,HIMASIKA_ITS,66378098
OCEANO 2019,OCEANOITS,228303979
IS Expo,is_expo,279432474
Schematics ITS Surabaya,schematics_its,197740648